lap,driver,lap_time_seconds,lap_time_formatted,delta_to_best,tyre_compound,tyre_age,position,gap_to_p2,race_events,radio_text,radio_sentiment,speed_fl,speed_i1,speed_i2,sector1,sector2,sector3,timestamp,stress_index,decision_quality,mental_fatigue,situational_awareness,heart_rate_est,eye_tracking,reaction_time_delta,mental_state,granite_analysis
16,VER,74.933,1:14.933,0.433,SOFT,16,1,0.0,[],No transmission.,0.0,286.3,241.6,247.7,20.232,33.72,20.981,20:24:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
17,VER,74.869,1:14.869,0.369,SOFT,17,1,0.0,[],No transmission.,0.0,290.7,227.8,254.8,20.215,33.691,20.963,20:25:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
18,VER,74.745,1:14.745,0.245,SOFT,18,1,0.0,[],No transmission.,0.0,297.8,240.4,245.2,20.181,33.635,20.929,20:27:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
19,VER,74.703,1:14.703,0.203,SOFT,19,1,0.0,[],No transmission.,0.0,295.0,239.1,253.7,20.17,33.616,20.917,20:28:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
20,VER,75.163,1:15.163,0.663,SOFT,20,1,0.0,[],No transmission.,0.0,283.2,232.2,243.9,20.294,33.823,21.046,20:30:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
21,VER,75.218,1:15.218,0.718,SOFT,21,1,0.0,[],No transmission.,0.0,292.0,231.6,243.0,20.309,33.848,21.061,20:31:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
22,VER,74.887,1:14.887,0.387,SOFT,22,1,0.0,[],No transmission.,0.0,287.2,239.6,252.2,20.219,33.699,20.968,20:33:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
23,VER,75.232,1:15.232,0.732,SOFT,23,1,0.0,[],No transmission.,0.0,289.6,227.4,253.4,20.313,33.855,21.065,20:34:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
24,VER,75.156,1:15.156,0.656,SOFT,24,1,0.0,[],No transmission.,0.0,291.0,240.4,249.9,20.292,33.82,21.044,20:36:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
25,VER,75.014,1:15.014,0.514,SOFT,25,1,0.0,[],No transmission.,0.0,288.8,225.5,243.7,20.254,33.756,21.004,20:37:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
26,VER,74.719,1:14.719,0.219,SOFT,26,1,0.0,[],No transmission.,0.0,292.2,231.3,250.1,20.174,33.623,20.921,20:39:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
27,VER,75.245,1:15.245,0.745,SOFT,27,1,0.0,[],No transmission.,0.0,286.0,233.2,254.1,20.316,33.86,21.068,20:40:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
28,VER,74.837,1:14.837,0.337,SOFT,28,1,0.0,[],No transmission.,0.0,283.2,230.8,244.6,20.206,33.677,20.954,20:42:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
29,VER,75.258,1:15.258,0.758,SOFT,29,1,0.0,[],No transmission.,0.0,294.9,237.7,255.9,20.32,33.866,21.072,20:43:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
30,VER,75.182,1:15.182,0.682,SOFT,30,1,0.0,[],No transmission.,0.0,285.0,242.9,250.6,20.299,33.832,21.051,20:45:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
31,VER,75.184,1:15.184,0.684,HARD,1,1,0.0,[],No transmission.,0.0,296.3,231.4,243.8,20.3,33.833,21.052,20:46:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
32,VER,74.837,1:14.837,0.337,HARD,2,1,0.0,[],No transmission.,0.0,288.8,241.4,255.8,20.206,33.677,20.954,20:48:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
33,VER,74.704,1:14.704,0.204,HARD,3,1,0.0,[],No transmission.,0.0,290.2,233.3,245.6,20.17,33.617,20.917,20:49:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
34,VER,74.772,1:14.772,0.272,HARD,4,1,0.0,[],No transmission.,0.0,287.4,243.9,247.2,20.188,33.647,20.936,20:51:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
35,VER,75.011,1:15.011,0.511,HARD,5,1,0.0,[],No transmission.,0.0,293.2,232.3,257.5,20.253,33.755,21.003,20:52:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
36,VER,75.277,1:15.277,0.777,HARD,6,1,0.0,[],No transmission.,0.0,286.0,234.9,246.8,20.325,33.875,21.078,20:54:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
37,VER,74.871,1:14.871,0.371,HARD,7,1,0.0,[],No transmission.,0.0,282.6,237.2,250.0,20.215,33.692,20.964,20:55:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
38,VER,74.731,1:14.731,0.231,HARD,8,1,0.5,[],No transmission.,0.0,286.5,243.2,245.8,20.177,33.629,20.925,20:57:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
39,VER,74.787,1:14.787,0.287,HARD,9,1,1.0,[],No transmission.,0.0,289.8,244.7,245.9,20.192,33.654,20.94,20:58:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
40,VER,75.103,1:15.103,0.603,HARD,10,1,1.5,"[""YELLOW_FLAG""]",I'm pushing as hard as I can.,1.0,294.2,229.8,253.7,20.278,33.796,21.029,21:00:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
41,VER,74.921,1:14.921,0.421,HARD,11,1,2.0,[],No transmission.,0.0,292.1,237.7,250.6,20.229,33.714,20.978,21:01:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
42,VER,74.754,1:14.754,0.254,HARD,12,1,2.5,[],No transmission.,0.0,295.4,231.4,245.0,20.184,33.639,20.931,21:03:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
43,VER,74.724,1:14.724,0.224,HARD,13,1,3.0,[],No transmission.,0.0,291.5,238.6,242.3,20.176,33.626,20.923,21:04:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
44,VER,75.007,1:15.007,0.507,HARD,14,1,3.5,[],No transmission.,0.0,285.6,237.9,244.8,20.252,33.753,21.002,21:06:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
45,VER,75.115,1:15.115,0.615,HARD,15,1,4.0,[],No transmission.,0.0,288.2,243.7,244.2,20.281,33.802,21.032,21:07:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
46,VER,74.905,1:14.905,0.405,HARD,16,1,4.5,[],No transmission.,0.0,283.8,243.5,256.0,20.224,33.707,20.973,21:09:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
47,VER,74.855,1:14.855,0.355,HARD,17,1,5.0,[],No transmission.,0.0,292.6,241.3,250.9,20.211,33.685,20.959,21:10:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
48,VER,75.018,1:15.018,0.518,HARD,18,1,5.5,[],No transmission.,0.0,285.9,226.9,256.4,20.255,33.758,21.005,21:12:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
49,VER,75.24,1:15.240,0.74,HARD,19,1,6.0,[],No transmission.,0.0,292.1,231.8,247.6,20.315,33.858,21.067,21:13:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
50,VER,75.136,1:15.136,0.636,HARD,20,1,6.5,[],No transmission.,0.0,296.4,242.7,254.5,20.287,33.811,21.038,21:15:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
51,VER,75.085,1:15.085,0.585,HARD,21,1,7.0,[],No transmission.,0.0,283.3,228.2,256.4,20.273,33.788,21.024,21:16:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
52,VER,75.064,1:15.064,0.564,HARD,22,1,7.5,[],No transmission.,0.0,282.1,227.0,252.6,20.267,33.779,21.018,21:18:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
53,VER,74.703,1:14.703,0.203,HARD,23,1,8.0,[],No transmission.,0.0,284.6,236.0,253.1,20.17,33.616,20.917,21:19:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
54,VER,75.091,1:15.091,0.591,HARD,24,1,8.5,[],No transmission.,0.0,285.6,239.2,245.8,20.275,33.791,21.026,21:21:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
55,VER,74.896,1:14.896,0.396,HARD,25,1,9.0,[],No transmission.,0.0,293.9,238.0,255.6,20.222,33.703,20.971,21:22:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
56,VER,75.097,1:15.097,0.597,HARD,26,1,9.5,[],No transmission.,0.0,291.1,226.9,247.9,20.276,33.794,21.027,21:24:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
57,VER,74.866,1:14.866,0.366,HARD,27,1,10.0,[],No transmission.,0.0,285.9,244.5,248.3,20.214,33.69,20.962,21:25:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
58,VER,75.253,1:15.253,0.753,HARD,28,1,10.5,[],No transmission.,0.0,292.1,240.9,250.0,20.318,33.864,21.071,21:27:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
59,VER,75.087,1:15.087,0.587,HARD,29,1,11.0,[],No transmission.,0.0,289.9,228.9,253.6,20.273,33.789,21.024,21:28:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
60,VER,74.955,1:14.955,0.455,HARD,30,1,11.5,[],No transmission.,0.0,282.4,237.9,244.8,20.238,33.73,20.987,21:30:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
61,VER,75.43,1:15.430,0.93,HARD,31,1,12.0,[],No transmission.,0.0,297.3,243.3,247.9,20.366,33.943,21.12,21:31:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
62,VER,74.996,1:14.996,0.496,HARD,32,1,12.5,[],No transmission.,0.0,296.9,233.6,257.5,20.249,33.748,20.999,21:33:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
63,VER,75.728,1:15.728,1.228,HARD,33,1,13.0,[],No transmission.,0.0,295.6,230.9,248.2,20.446,34.077,21.204,21:34:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
64,VER,75.848,1:15.848,1.348,HARD,34,1,13.5,[],No transmission.,0.0,287.1,228.4,250.9,20.479,34.132,21.238,21:36:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
65,VER,76.08,1:16.080,1.58,HARD,35,1,14.0,"[""YELLOW_FLAG""]",This street track has no room for error.,0.0,293.1,236.4,243.6,20.542,34.236,21.303,21:37:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
66,VER,76.02,1:16.020,1.52,HARD,36,1,14.5,"[""SAFETY_CAR""]",No transmission.,0.0,297.8,227.8,250.3,20.525,34.209,21.286,21:39:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
67,VER,76.226,1:16.226,1.726,HARD,37,1,15.0,"[""SAFETY_CAR""]",No transmission.,0.0,293.9,238.9,253.2,20.581,34.302,21.343,21:40:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
68,VER,75.867,1:15.867,1.367,HARD,38,1,14.5,"[""SAFETY_CAR""]",No transmission.,0.0,286.7,241.2,255.0,20.484,34.14,21.243,21:42:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
69,VER,76.039,1:16.039,1.539,HARD,39,1,14.0,[],No transmission.,0.0,296.6,235.2,250.0,20.531,34.218,21.291,21:43:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
70,VER,75.817,1:15.817,1.317,HARD,40,1,13.5,[],No transmission.,0.0,292.4,239.0,254.7,20.47,34.117,21.229,21:45:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
71,VER,75.683,1:15.683,1.183,HARD,41,1,13.0,[],No transmission.,0.0,287.4,232.5,243.5,20.434,34.057,21.191,21:46:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
72,VER,75.333,1:15.333,0.833,HARD,42,1,12.5,[],No transmission.,0.0,282.6,234.3,250.7,20.34,33.9,21.093,21:48:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
73,VER,75.037,1:15.037,0.537,HARD,43,1,12.0,[],No transmission.,0.0,291.5,225.6,242.6,20.26,33.767,21.01,21:49:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
74,VER,75.28,1:15.280,0.78,HARD,44,1,11.5,[],No transmission.,0.0,287.8,227.5,250.4,20.326,33.876,21.078,21:51:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
75,VER,75.203,1:15.203,0.703,HARD,45,1,11.0,[],No transmission.,0.0,285.5,237.5,243.4,20.305,33.841,21.057,21:52:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
76,VER,74.748,1:14.748,0.248,HARD,46,1,10.5,[],No transmission.,0.0,290.5,235.8,252.2,20.182,33.637,20.93,21:54:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
77,VER,75.142,1:15.142,0.642,HARD,47,1,10.0,[],No transmission.,0.0,297.6,235.3,247.2,20.288,33.814,21.04,21:55:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
78,VER,75.179,1:15.179,0.679,HARD,48,1,9.5,[],No transmission.,0.0,286.3,233.8,243.3,20.298,33.831,21.05,21:57:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
