lap,driver,lap_time_seconds,lap_time_formatted,delta_to_best,tyre_compound,tyre_age,position,gap_to_p2,race_events,radio_text,radio_sentiment,speed_fl,speed_i1,speed_i2,sector1,sector2,sector3,timestamp,stress_index,decision_quality,mental_fatigue,situational_awareness,heart_rate_est,eye_tracking,reaction_time_delta,mental_state,granite_analysis
14,VER,91.664,1:31.664,0.464,SOFT,14,1,8.5,[],No transmission.,0.0,308.3,250.0,268.7,24.749,41.249,25.666,20:21:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
15,VER,91.153,1:31.153,-0.047,SOFT,15,1,8.0,[],"Temps are really high, thermal degradation is crazy.",0.0,297.1,238.9,259.2,24.611,41.019,25.523,20:22:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
16,VER,91.333,1:31.333,0.133,SOFT,16,1,7.5,[],No transmission.,0.0,298.3,254.6,259.7,24.66,41.1,25.573,20:24:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
17,VER,91.269,1:31.269,0.069,SOFT,17,1,7.0,[],No transmission.,0.0,302.7,240.8,266.8,24.643,41.071,25.555,20:25:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
18,VER,91.145,1:31.145,-0.055,SOFT,18,1,6.5,[],No transmission.,0.0,309.8,253.4,257.2,24.609,41.015,25.521,20:27:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
19,VER,91.103,1:31.103,-0.097,MEDIUM,1,1,6.0,[],No transmission.,0.0,307.0,252.1,265.7,24.598,40.996,25.509,20:28:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
20,VER,91.563,1:31.563,0.363,MEDIUM,2,1,5.5,"[""YELLOW_FLAG""]",No transmission.,0.0,295.2,245.2,255.9,24.722,41.203,25.638,20:30:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
21,VER,91.618,1:31.618,0.418,MEDIUM,3,1,5.0,[],No transmission.,0.0,304.0,244.6,255.0,24.737,41.228,25.653,20:31:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
22,VER,91.287,1:31.287,0.087,MEDIUM,4,1,4.5,[],No transmission.,0.0,299.2,252.6,264.2,24.647,41.079,25.56,20:33:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
23,VER,91.632,1:31.632,0.432,MEDIUM,5,1,4.0,[],No transmission.,0.0,301.6,240.4,265.4,24.741,41.235,25.657,20:34:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
24,VER,91.556,1:31.556,0.356,MEDIUM,6,1,3.5,[],No transmission.,0.0,303.0,253.4,261.9,24.72,41.2,25.636,20:36:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
25,VER,91.414,1:31.414,0.214,MEDIUM,7,1,3.0,[],"Understood, managing the gap.",1.0,300.8,238.5,255.7,24.682,41.136,25.596,20:37:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
26,VER,91.119,1:31.119,-0.081,MEDIUM,8,1,2.5,[],No transmission.,0.0,304.2,244.3,262.1,24.602,41.003,25.513,20:39:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
27,VER,91.645,1:31.645,0.445,MEDIUM,9,1,2.0,[],No transmission.,0.0,298.0,246.2,266.1,24.744,41.24,25.66,20:40:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
28,VER,91.237,1:31.237,0.037,MEDIUM,10,1,1.5,[],No transmission.,0.0,295.2,243.8,256.6,24.634,41.057,25.546,20:42:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
29,VER,91.658,1:31.658,0.458,MEDIUM,11,1,1.0,[],No transmission.,0.0,306.9,250.7,267.9,24.748,41.246,25.664,20:43:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
30,VER,91.582,1:31.582,0.382,MEDIUM,12,1,0.5,[],No transmission.,0.0,297.0,255.9,262.6,24.727,41.212,25.643,20:45:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
31,VER,91.584,1:31.584,0.384,MEDIUM,13,1,0.0,[],No transmission.,0.0,308.3,244.4,255.8,24.728,41.213,25.644,20:46:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
32,VER,91.237,1:31.237,0.037,MEDIUM,14,1,0.0,[],No transmission.,0.0,300.8,254.4,267.8,24.634,41.057,25.546,20:48:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
33,VER,91.104,1:31.104,-0.096,MEDIUM,15,1,0.0,[],No transmission.,0.0,302.2,246.3,257.6,24.598,40.997,25.509,20:49:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
34,VER,91.172,1:31.172,-0.028,MEDIUM,16,1,0.0,[],No transmission.,0.0,299.4,256.9,259.2,24.616,41.027,25.528,20:51:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
35,VER,91.411,1:31.411,0.211,MEDIUM,17,1,0.0,[],No transmission.,0.0,305.2,245.3,269.5,24.681,41.135,25.595,20:52:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
36,VER,91.677,1:31.677,0.477,MEDIUM,18,1,0.0,[],No transmission.,0.0,298.0,247.9,258.8,24.753,41.255,25.67,20:54:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
37,VER,91.271,1:31.271,0.071,MEDIUM,19,1,0.0,[],No transmission.,0.0,294.6,250.2,262.0,24.643,41.072,25.556,20:55:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
38,VER,91.131,1:31.131,-0.069,MEDIUM,20,1,0.0,[],No transmission.,0.0,298.5,256.2,257.8,24.605,41.009,25.517,20:57:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
39,VER,91.187,1:31.187,-0.013,HARD,1,1,0.0,[],No transmission.,0.0,301.8,257.7,257.9,24.62,41.034,25.532,20:58:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
40,VER,91.503,1:31.503,0.303,HARD,2,1,0.0,[],No transmission.,0.0,306.2,242.8,265.7,24.706,41.176,25.621,21:00:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
41,VER,91.321,1:31.321,0.121,HARD,3,1,0.0,[],No transmission.,0.0,304.1,250.7,262.6,24.657,41.094,25.57,21:01:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
42,VER,91.154,1:31.154,-0.046,HARD,4,1,0.0,[],No transmission.,0.0,307.4,244.4,257.0,24.612,41.019,25.523,21:03:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
43,VER,91.124,1:31.124,-0.076,HARD,5,1,0.0,[],No transmission.,0.0,303.5,251.6,254.3,24.604,41.006,25.515,21:04:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
44,VER,91.407,1:31.407,0.207,HARD,6,1,0.0,[],No transmission.,0.0,297.6,250.9,256.8,24.68,41.133,25.594,21:06:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
45,VER,91.515,1:31.515,0.315,HARD,7,1,0.0,[],No transmission.,0.0,300.2,256.7,256.2,24.709,41.182,25.624,21:07:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
46,VER,91.305,1:31.305,0.105,HARD,8,1,0.0,[],No transmission.,0.0,295.8,256.5,268.0,24.652,41.087,25.565,21:09:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
47,VER,91.255,1:31.255,0.055,HARD,9,1,0.0,[],No transmission.,0.0,304.6,254.3,262.9,24.639,41.065,25.551,21:10:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
48,VER,91.418,1:31.418,0.218,HARD,10,1,0.0,[],No transmission.,0.0,297.9,239.9,268.4,24.683,41.138,25.597,21:12:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
49,VER,91.64,1:31.640,0.44,HARD,11,1,0.0,[],No transmission.,0.0,304.1,244.8,259.6,24.743,41.238,25.659,21:13:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
50,VER,91.536,1:31.536,0.336,HARD,12,1,0.0,[],No transmission.,0.0,308.4,255.7,266.5,24.715,41.191,25.63,21:15:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
51,VER,91.485,1:31.485,0.285,HARD,13,1,0.0,[],No transmission.,0.0,295.3,241.2,268.4,24.701,41.168,25.616,21:16:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
52,VER,91.464,1:31.464,0.264,HARD,14,1,0.0,[],No transmission.,0.0,294.1,240.0,264.6,24.695,41.159,25.61,21:18:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
53,VER,91.103,1:31.103,-0.097,HARD,15,1,0.0,[],No transmission.,0.0,296.6,249.0,265.1,24.598,40.996,25.509,21:19:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
54,VER,91.491,1:31.491,0.291,HARD,16,1,0.0,[],No transmission.,0.0,297.6,252.2,257.8,24.703,41.171,25.618,21:21:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
55,VER,91.295,1:31.295,0.095,HARD,17,1,0.0,[],No transmission.,0.0,305.9,251.0,267.6,24.65,41.083,25.563,21:22:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
56,VER,91.495,1:31.495,0.295,HARD,18,1,0.0,[],No transmission.,0.0,303.1,239.9,259.9,24.704,41.173,25.618,21:24:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
57,VER,91.259,1:31.259,0.059,HARD,19,1,0.0,[],No transmission.,0.0,297.9,257.5,260.3,24.64,41.067,25.553,21:25:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
