lap,driver,lap_time_seconds,lap_time_formatted,delta_to_best,tyre_compound,tyre_age,position,gap_to_p2,race_events,radio_text,radio_sentiment,speed_fl,speed_i1,speed_i2,sector1,sector2,sector3,timestamp,stress_index,decision_quality,mental_fatigue,situational_awareness,heart_rate_est,eye_tracking,reaction_time_delta,mental_state,granite_analysis
14,VER,90.128,1:30.128,2.363,MEDIUM,14,6,0.0,"[""Other""]",No transmission.,0.0,208.0,287.0,297.0,18.006,38.876,33.246,20:21:01,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
15,VER,89.876,1:29.876,2.111,MEDIUM,15,5,0.0,"[""Other""]","Copy, understood.",1.0,208.0,286.0,297.0,18.019,38.636,33.221,20:22:28,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
16,VER,90.047,1:30.047,2.282,MEDIUM,16,5,0.0,"[""Other"", ""Flag""]",No transmission.,0.0,209.0,284.0,297.0,18.052,38.838,33.157,20:24:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
17,VER,89.909,1:29.909,2.144,MEDIUM,17,5,0.0,"[""Other"", ""Flag""]",No transmission.,0.0,210.0,285.0,296.0,17.979,38.793,33.137,20:25:28,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
18,VER,89.826,1:29.826,2.061,MEDIUM,18,5,0.0,[],No transmission.,0.0,209.0,284.0,296.0,18.028,38.64,33.158,20:26:56,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
19,VER,90.076,1:30.076,2.311,MEDIUM,19,5,0.0,[],No transmission.,0.0,209.0,285.0,295.0,18.077,38.705,33.294,20:28:31,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
20,VER,90.004,1:30.004,2.239,MEDIUM,20,5,0.0,[],"Copy, understood. Gap is fine.",1.0,208.0,287.0,295.0,18.006,38.823,33.175,20:30:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
21,VER,89.695,1:29.695,1.93,MEDIUM,21,4,0.0,[],No transmission.,0.0,209.0,287.0,298.0,17.975,38.588,33.132,20:31:23,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
22,VER,89.889,1:29.889,2.124,MEDIUM,22,4,0.0,[],No transmission.,0.0,208.0,285.0,297.0,18.023,38.754,33.112,20:32:57,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
23,VER,89.939,1:29.939,2.174,MEDIUM,23,4,0.0,[],No transmission.,0.0,210.0,286.0,297.0,17.972,38.798,33.169,20:34:28,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
24,VER,89.75,1:29.750,1.985,MEDIUM,24,4,0.0,[],No transmission.,0.0,208.0,285.0,298.0,17.969,38.653,33.128,20:35:54,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
25,VER,89.852,1:29.852,2.087,MEDIUM,25,4,0.0,"[""Other""]","Copy, understood.",1.0,209.0,287.0,298.0,17.97,38.656,33.226,20:37:26,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
26,VER,90.268,1:30.268,2.503,MEDIUM,26,4,0.0,[],No transmission.,0.0,209.0,286.0,297.0,17.964,38.827,33.477,20:39:06,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
27,VER,89.897,1:29.897,2.132,MEDIUM,27,3,0.0,"[""Other"", ""Flag""]",No transmission.,0.0,209.0,286.0,298.0,17.942,38.858,33.097,20:40:27,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
28,VER,90.274,1:30.274,2.509,MEDIUM,28,3,0.0,[],No transmission.,0.0,208.0,286.0,296.0,17.994,39.156,33.124,20:42:07,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
29,VER,91.857,1:31.857,4.092,MEDIUM,29,3,0.0,"[""Other""]",No transmission.,0.0,300.0,287.0,298.0,17.92,38.668,35.269,20:44:23,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
30,VER,119.495,1:59.495,31.73,HARD,1,11,0.497,"[""Other"", ""Flag""]","Tyre temps looking good, keep pushing.",1.0,214.0,288.0,297.0,49.136,38.137,32.222,20:59:44,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
31,VER,88.088,1:28.088,0.323,HARD,2,10,0.216,"[""Other"", ""YELLOW_FLAG"", ""Flag"", ""DRS_ENABLED""]",No transmission.,0.0,212.0,288.0,296.0,17.867,37.731,32.49,20:45:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
32,VER,88.528,1:28.528,0.763,HARD,3,10,1.098,"[""Other"", ""Flag""]",No transmission.,0.0,214.0,285.0,296.0,17.891,38.182,32.455,20:47:12,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
33,VER,88.333,1:28.333,0.568,HARD,4,9,0.611,"[""Other""]",No transmission.,0.0,212.0,291.0,300.0,17.735,38.162,32.436,20:48:34,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
34,VER,88.409,1:28.409,0.644,HARD,5,9,0.827,[],No transmission.,0.0,211.0,289.0,300.0,17.725,38.227,32.457,20:50:05,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
35,VER,89.111,1:29.111,1.346,HARD,6,9,1.571,[],"Position is secure, manage the gap.",1.0,210.0,290.0,314.0,17.662,37.912,33.537,20:51:58,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
36,VER,88.557,1:28.557,0.792,HARD,7,8,1.587,[],No transmission.,0.0,210.0,291.0,297.0,18.023,37.998,32.536,20:53:08,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
37,VER,88.413,1:28.413,0.648,HARD,8,8,2.239,"[""Other""]",No transmission.,0.0,212.0,289.0,300.0,17.714,38.254,32.445,20:54:31,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
38,VER,88.36,1:28.360,0.595,HARD,9,8,2.081,"[""Other""]",No transmission.,0.0,211.0,287.0,297.0,17.67,38.204,32.486,20:55:57,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
39,VER,88.296,1:28.296,0.531,HARD,10,8,2.236,[],No transmission.,0.0,213.0,287.0,296.0,17.724,38.101,32.471,20:57:23,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
40,VER,88.345,1:28.345,0.58,HARD,11,8,3.312,[],"Copy, understood.",1.0,212.0,289.0,297.0,17.675,38.155,32.515,20:58:53,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
41,VER,88.439,1:28.439,0.674,HARD,12,8,3.71,[],No transmission.,0.0,212.0,290.0,298.0,17.698,38.222,32.519,21:00:25,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
42,VER,88.113,1:28.113,0.348,HARD,13,8,3.52,[],No transmission.,0.0,212.0,291.0,302.0,17.576,38.066,32.471,21:01:40,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
43,VER,88.089,1:28.089,0.324,HARD,14,7,3.785,[],No transmission.,0.0,212.0,292.0,296.0,17.685,37.847,32.557,21:03:07,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
44,VER,88.501,1:28.501,0.736,HARD,15,7,4.297,"[""Other"", ""Flag""]","We need to extend, tyres are degrading fast.",-1.0,212.0,291.0,298.0,17.655,38.235,32.611,21:04:54,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
45,VER,88.067,1:28.067,0.302,HARD,16,6,4.356,"[""Flag""]","Copy, understood.",1.0,214.0,292.0,325.0,17.648,37.861,32.558,21:06:03,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
46,VER,88.231,1:28.231,0.466,HARD,17,6,4.319,"[""Other""]",No transmission.,0.0,212.0,288.0,296.0,17.595,38.288,32.348,21:07:38,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
47,VER,88.304,1:28.304,0.539,HARD,18,6,5.467,"[""Other"", ""Flag""]","These tyres are completely gone, I cannot hold Norris.",-1.0,212.0,290.0,297.0,17.635,38.232,32.437,21:09:10,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
48,VER,87.893,1:27.893,0.128,HARD,19,6,5.454,"[""Other"", ""Flag""]","Keep pushing, gap is stable.",1.0,214.0,291.0,315.0,17.65,38.031,32.212,21:10:18,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
49,VER,87.927,1:27.927,0.162,HARD,20,6,6.065,"[""Flag""]",No transmission.,0.0,213.0,290.0,295.0,17.56,38.215,32.152,21:11:48,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
50,VER,87.961,1:27.961,0.196,HARD,21,6,5.811,"[""Other"", ""Flag""]",Box box box. Understood.,1.0,214.0,289.0,294.0,17.569,38.245,32.147,21:13:18,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
51,VER,87.82,1:27.820,0.055,HARD,22,6,6.02,"[""Flag""]","OK, new tyres. Let's push.",1.0,212.0,289.0,294.0,17.543,38.151,32.126,21:14:38,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
52,VER,88.047,1:28.047,0.282,HARD,23,6,6.936,[],No transmission.,0.0,213.0,289.0,292.0,17.592,38.194,32.261,21:16:18,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
53,VER,88.064,1:28.064,0.299,HARD,24,6,6.855,"[""Other"", ""Flag""]","Gap to Norris is growing, good job.",1.0,211.0,295.0,296.0,17.553,38.239,32.272,21:17:47,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
54,VER,88.352,1:28.352,0.587,HARD,25,6,7.464,"[""Flag""]",No transmission.,0.0,213.0,294.0,299.0,17.701,38.164,32.487,21:19:31,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
55,VER,87.821,1:27.821,0.056,HARD,26,6,7.883,"[""Flag""]","Copy, understood.",1.0,214.0,294.0,313.0,17.648,37.893,32.28,21:20:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
56,VER,87.765,1:27.765,0.0,HARD,27,6,7.598,[],No transmission.,0.0,213.0,294.0,299.0,17.571,38.063,32.131,21:21:54,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
57,VER,88.174,1:28.174,0.409,HARD,28,6,8.384,"[""Other"", ""Flag""]",No transmission.,0.0,212.0,291.0,296.0,17.565,38.204,32.405,21:23:45,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
58,VER,88.78,1:28.780,1.015,HARD,29,6,8.455,"[""YELLOW_FLAG"", ""DRS_ENABLED"", ""Other"", ""SessionStatus"", ""Flag""]","Checkered flag, brilliant drive Max.",1.0,212.0,292.0,299.0,17.676,38.262,32.842,21:25:49,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
